=== SHEET: Android ===

--- TABLE: LCD Screen ---
Model,Harga (Ribuan)
Samsung S21,450
Samsung S22,500
Samsung S23,600
Samsung S24,700
Xiaomi 11,350
Xiaomi 12,400
Xiaomi 13,450
Xiaomi 14,500
Oppo Reno 8,350
Oppo Reno 9,400
Oppo Reno 10,450
Vivo V25,350
Vivo V27,400
Vivo V29,450

--- TABLE: Baterai ---
Model,Harga (Ribuan)
Samsung S21,200
Samsung S22,220
Samsung S23,250
Samsung S24,280
Xiaomi 11,150
Xiaomi 12,170
Xiaomi 13,190
Xiaomi 14,210
Oppo Reno 8,150
Oppo Reno 9,170
Oppo Reno 10,190
Vivo V25,150
Vivo V27,170
Vivo V29,190

--- TABLE: Kamera Depan ---
Model,Harga (Ribuan)
Samsung S21,180
Samsung S22,200
Samsung S23,220
Samsung S24,250
Xiaomi 11,120
Xiaomi 12,140
Xiaomi 13,160
Xiaomi 14,180
Oppo Reno 8,120
Oppo Reno 9,140
Oppo Reno 10,160
Vivo V25,120
Vivo V27,140
Vivo V29,160

--- TABLE: Kamera Belakang ---
Model,Harga (Ribuan)
Samsung S21,350
Samsung S22,400
Samsung S23,450
Samsung S24,500
Xiaomi 11,250
Xiaomi 12,300
Xiaomi 13,350
Xiaomi 14,400
Oppo Reno 8,250
Oppo Reno 9,300
Oppo Reno 10,350
Vivo V25,250
Vivo V27,300
Vivo V29,350

